AMASKCD,COUNT_RECOM,COUNT_TP
46948.0,61,147
46965.0,12,0
46966.0,45,55
47011.0,196,941
47045.0,44,187
47059.0,0,1
47068.0,21,86
47120.0,2,7
47136.0,146,394
47195.0,249,875
47257.0,94,229
47323.0,25,58
47331.0,138,885
47420.0,9,26
47462.0,90,228
47478.0,261,1284
47490.0,81,206
47499.0,5,39
47590.0,0,2
47625.0,11,43
47634.0,90,102
47677.0,12,79
47678.0,156,1128
47816.0,1,1
47832.0,111,555
47839.0,71,679
47875.0,4,5
47919.0,96,179
47920.0,84,588
47949.0,218,1606
47981.0,43,135
48008.0,24,0
48013.0,50,490
48057.0,114,208
48072.0,3,9
48085.0,32,49
48107.0,7,16
48110.0,15,15
48153.0,297,1754
48155.0,91,104
48177.0,182,1089
48180.0,133,998
48199.0,46,264
48253.0,2,30
48258.0,23,0
48271.0,8,39
48310.0,18,73
48354.0,5,17
48359.0,2,4
48368.0,65,448
48418.0,1,0
48423.0,7,15
48474.0,2,6
48482.0,74,174
48516.0,60,138
48534.0,73,152
48619.0,1,0
48634.0,84,182
48644.0,1,12
48678.0,37,66
48705.0,2,11
48707.0,0,1
48729.0,94,636
48793.0,1,3
48806.0,90,12
48809.0,5,25
48860.0,36,146
48875.0,0,1
48907.0,8,189
49027.0,129,625
49070.0,4,0
49287.0,3,0
49297.0,40,210
49319.0,1,0
49331.0,156,693
49356.0,98,302
49385.0,1,4
49404.0,39,213
49434.0,179,1515
49454.0,88,600
49461.0,98,949
49481.0,74,37
49483.0,117,713
49508.0,4,0
49512.0,196,339
49516.0,60,103
49552.0,156,1053
49556.0,240,892
49595.0,126,502
49616.0,2,9
49641.0,7,0
49685.0,121,599
49764.0,50,94
49767.0,27,126
49771.0,0,1
49781.0,0,1
49807.0,46,135
49831.0,14,73
49881.0,115,612
49945.0,30,33
50004.0,62,248
50005.0,0,1
50016.0,1,1
50034.0,0,1
50043.0,104,502
50054.0,0,2
50097.0,12,32
50114.0,23,164
50174.0,1,1
50249.0,69,177
50252.0,5,23
50254.0,158,977
50313.0,29,5
50328.0,0,2
50381.0,286,1242
50412.0,9,5
50446.0,46,82
50765.0,110,779
50768.0,33,63
50789.0,122,283
50841.0,1,4
50938.0,2,5
50982.0,23,0
50999.0,146,567
51019.0,133,595
51026.0,8,3
51082.0,11,4
51096.0,0,1
51105.0,73,239
51140.0,54,70
51144.0,1,2
51146.0,52,0
51164.0,30,6
51165.0,95,381
51174.0,62,136
51204.0,5,19
51221.0,75,142
51251.0,33,172
51259.0,0,7
51279.0,3,7
51304.0,83,262
51517.0,4,7
51519.0,124,242
51589.0,140,725
51663.0,13,11
51754.0,17,59
51786.0,44,126
51822.0,53,267
51867.0,57,262
51880.0,0,13
51892.0,1,1
52059.0,51,111
52231.0,39,104
52298.0,38,105
52314.0,77,695
52322.0,1,6
52347.0,43,216
52366.0,55,76
52370.0,90,339
52379.0,56,1
52527.0,8,7
52546.0,0,9
52563.0,3,7
52609.0,1,2
52672.0,64,152
52689.0,150,943
52706.0,165,599
52734.0,58,244
52780.0,25,76
52785.0,10,28
52803.0,27,33
52826.0,97,499
52827.0,14,16
52894.0,7,0
52895.0,73,318
53035.0,169,1313
53112.0,125,261
53136.0,56,96
53160.0,8,43
53168.0,0,9
53239.0,3,68
53252.0,32,317
53272.0,143,812
53314.0,51,276
53315.0,7,190
53410.0,170,343
53474.0,140,860
53501.0,2,1
53507.0,10,38
53513.0,20,184
53547.0,0,2
53556.0,171,815
53564.0,22,22
53621.0,2,5
53685.0,206,1312
53707.0,95,444
53708.0,2,0
53717.0,72,289
53779.0,30,36
53805.0,73,241
53859.0,91,592
53919.0,111,477
53923.0,8,70
53950.0,19,192
54028.0,4,0
54029.0,2,23
54256.0,79,965
54257.0,5,20
54310.0,99,960
54316.0,9,49
54335.0,5,14
54408.0,2,8
54440.0,82,557
54459.0,60,452
54478.0,42,171
54506.0,0,1
54542.0,137,24
54560.0,1,0
54636.0,5,30
54742.0,2,4
54752.0,273,988
54766.0,60,323
54797.0,5,24
54882.0,97,289
54892.0,8,0
54897.0,28,38
54899.0,8,26
54900.0,5,12
54970.0,179,1458
54981.0,96,182
55028.0,100,452
55052.0,47,120
55081.0,15,1
55176.0,34,71
55256.0,2,7
55265.0,9,45
55341.0,5,6
55494.0,12,61
55524.0,9,8
55594.0,144,926
55649.0,1,1
55673.0,227,834
55693.0,3,0
55696.0,69,138
55792.0,98,135
55810.0,94,504
55864.0,2,5
55896.0,86,228
55913.0,132,233
55917.0,69,283
55939.0,60,132
55965.0,12,23
55971.0,0,1
55991.0,1,4
56027.0,2,13
56039.0,57,1254
56068.0,91,241
56098.0,25,60
56111.0,90,276
56113.0,76,415
56119.0,137,341
56120.0,3,7
56151.0,6,54
56168.0,263,1469
56181.0,67,510
56230.0,123,0
56263.0,3,0
56267.0,59,85
56285.0,4,11
56350.0,14,43
56351.0,2,8
56375.0,1,2
56389.0,13,9
56419.0,30,23
56438.0,10,51
56500.0,115,664
56518.0,11,16
56539.0,1,1
56574.0,30,159
56585.0,79,604
56596.0,100,1491
56645.0,118,1120
56692.0,144,452
56728.0,2,2
56907.0,59,292
56943.0,140,701
56947.0,6,16
56969.0,11,22
57006.0,1,2
57008.0,68,583
57022.0,11,11
57036.0,2,3
57099.0,2,7
57143.0,17,47
57227.0,1,23
57345.0,9,82
57378.0,6,6
57452.0,90,319
57522.0,43,132
57524.0,144,685
57530.0,116,621
57551.0,42,103
57560.0,8,33
57577.0,81,370
57578.0,72,206
57586.0,2,7
57588.0,2,0
57607.0,130,769
57626.0,1,0
57699.0,79,533
57713.0,22,9
57742.0,9,61
57780.0,101,284
57783.0,15,56
57785.0,176,873
57859.0,114,258
57900.0,3,10
57913.0,13,100
57927.0,4,24
58006.0,4,19
58016.0,111,802
58026.0,1,1
58062.0,26,99
58063.0,245,1654
58066.0,30,268
58095.0,1,2
58121.0,1,0
58130.0,32,176
58169.0,17,61
58195.0,4,0
58207.0,0,13
58260.0,97,97
58263.0,158,266
58307.0,56,260
58313.0,90,234
58344.0,83,444
58362.0,91,171
58377.0,20,279
58384.0,68,628
58403.0,97,214
58411.0,92,131
58422.0,3,0
58487.0,66,230
58499.0,97,263
58518.0,12,25
58531.0,94,754
58564.0,0,1
58589.0,5,18
58616.0,5,15
58622.0,2,0
58628.0,40,176
58637.0,146,816
58668.0,23,64
58778.0,63,100
58819.0,48,7
58823.0,13,15
58832.0,118,753
58844.0,71,566
58895.0,99,790
58949.0,34,70
58957.0,31,35
58970.0,1,1
59084.0,0,2
59163.0,104,254
59168.0,6,20
59239.0,197,1153
59250.0,0,1
59298.0,50,75
59325.0,60,485
59337.0,69,226
59339.0,125,845
59347.0,68,111
59370.0,2,2
59394.0,17,105
59433.0,0,1
59464.0,0,2
59486.0,8,18
59511.0,100,148
59514.0,181,528
59515.0,67,336
59605.0,94,661
59610.0,43,4
59612.0,53,746
59626.0,61,2
59631.0,11,17
59637.0,130,952
59642.0,3,9
59704.0,139,520
59758.0,104,762
65512.0,50,667
70006.0,7,0
70021.0,110,1003
70075.0,274,553
70494.0,269,0
70497.0,6,9
70512.0,2,0
70566.0,20,12
70576.0,16,45
70586.0,24,218
70599.0,1,1
70634.0,145,793
70642.0,0,1
70648.0,26,149
70651.0,37,215
70679.0,153,842
70687.0,109,177
70706.0,119,1474
70707.0,38,102
70721.0,32,73
70731.0,20,96
70745.0,40,68
70747.0,16,42
70775.0,1,4
70792.0,259,537
70795.0,67,221
70806.0,5,55
70850.0,40,129
70863.0,9,0
70872.0,108,1238
70873.0,116,1040
70879.0,18,33
70880.0,6,29
70901.0,48,171
70902.0,83,302
70909.0,17,36
70927.0,14,207
70930.0,56,317
70967.0,485,2636
70985.0,216,1011
70991.0,110,768
70993.0,0,2
71004.0,85,188
71022.0,20,102
71040.0,68,202
71061.0,2,8
71083.0,38,99
71102.0,7,19
71105.0,6,10
71121.0,22,135
71124.0,0,1
71167.0,87,276
71175.0,162,784
71182.0,78,1555
71186.0,56,85
71198.0,78,473
71199.0,33,460
71210.0,29,37
71260.0,79,327
71263.0,123,856
71275.0,47,292
71283.0,11,32
71340.0,100,41
71346.0,64,273
71396.0,147,1052
71417.0,54,286
71428.0,80,519
71430.0,51,100
71432.0,32,165
71435.0,88,62
71446.0,4,5
71449.0,48,273
71462.0,7,23
71466.0,33,82
71470.0,67,216
71476.0,1,1
71505.0,1,1
71551.0,54,146
71602.0,1,2
71613.0,80,354
71619.0,3,5
71626.0,14,24
71636.0,52,486
71640.0,0,2
71648.0,223,1021
71654.0,15,33
71655.0,31,32
71708.0,13,17
71713.0,144,874
71724.0,414,1109
71725.0,5,0
71729.0,0,6
71755.0,273,771
71785.0,20,155
71787.0,74,829
71811.0,3,0
71854.0,110,341
71857.0,30,229
71893.0,0,1
71894.0,112,1209
71900.0,47,94
