IBES_NAME,total_valid_record,confidence_on_density,confidence_on_distance,overall_confidence,choice,companyid,brokername
SPROTTSE,82,0.8902439024390244,0.8904109589041096,(0.890327426753365+0j),43,25218267.0,Cormark Securities Inc.
AMBITCAP,53,1.0,0.7924528301886793,(0.8901981971385244+0j),2344,60865300.0,Ambit Capital
LEVESQUE,149,0.912751677852349,0.8676470588235294,(0.8899136523982719+0j),221,29834361.0,National Bank Financial
BREBANK,24,0.9583333333333334,0.8260869565217391,(0.8897565210026093+0j),528,40174395.0,Biuro maklerskie mBanku
EDWARDS,129,0.9224806201550387,0.8571428571428571,(0.8892118276421004+0j),450,23712015.0,AG Edwards Inc.
NATLSEC,19,1.0,0.7894736842105263,(0.8885233166386386+0j),873,39929162.0,B. Riley Wealth
ARETE,38,0.9210526315789473,0.8571428571428571,(0.8885233166386385+0j),2311,41864325.0,Arete Research Services LLP
EMKAY,90,0.9333333333333333,0.8452380952380952,(0.8881941729649485+0j),630,32876085.0,Emkay Global Financial Services Ltd.
MCDONALD,165,0.9515151515151515,0.8280254777070064,(0.8876253645985946+0j),31,10966122.0,KeyBanc Capital Markets Inc.
JAYPEE,14,0.9285714285714286,0.8461538461538461,(0.8864052604279183+0j),2717,107248441.0,Jaypee International
UBM,28,0.9642857142857143,0.8148148148148148,(0.8864052604279183+0j),511,27145387.0,UniCredit Research
DOLATCAP,42,0.9523809523809523,0.825,(0.8864052604279183+0j),1187,40175581.0,Dolat Capital Market Pvt. Ltd.
GENGHIS,14,0.9285714285714286,0.8461538461538461,(0.8864052604279183+0j),2608,100238674.0,Genghis Capital Ltd
NORTHRES,28,1.0,0.7857142857142857,(0.8864052604279183+0j),2338,60301564.0,Northcoast Research
CLKA,42,0.8809523809523809,0.8918918918918919,(0.8864052604279182+0j),67,209332594.0,"CL King & Associates, Inc."
WOODCZ,65,0.8923076923076924,0.8793103448275862,(0.8857851797221403+0j),155,27245003.0,Wood & Company
BPI,23,0.8695652173913043,0.9,(0.8846517369293828+0j),493,39862044.0,"Banco BPI, S.A."
JAHANGIR,23,0.9130434782608695,0.8571428571428571,(0.8846517369293827+0j),778,39837413.0,JS Global Capital Limited
KEARNS,41,0.9024390243902439,0.8648648648648649,(0.8834522085987724+0j),149,25227903.0,"Paradigm Capital, Inc."
CENTRUM,59,0.9661016949152542,0.8070175438596491,(0.8829841544156681+0j),1643,50197773.0,Centrum Broking Limited
ITAU,68,0.8823529411764706,0.8833333333333333,(0.8828430011649196+0j),758,39925887.0,Itau BBA
BNIFL,9,0.8888888888888888,0.875,(0.8819171036881969+0j),956,39834965.0,PT BNI Securities
CHARDAN,18,1.0,0.7777777777777778,(0.8819171036881969+0j),2433,83423112.0,"Chardan Capital Markets, LLC"
FOUNDA,18,1.0,0.7777777777777778,(0.8819171036881969+0j),1108,43506004.0,Foundation Securities Private Limited
ANALYST,18,0.8888888888888888,0.875,(0.8819171036881969+0j),3103,259920978.0,The Analyst Research LLP
FDMINNET,36,0.9722222222222222,0.8,(0.8819171036881969+0j),2341,54628573.0,Ord Minnett Limited
BAUM,18,0.8888888888888888,0.875,(0.8819171036881969+0j),680,39837000.0,George K. Baum & Company
OKASAN,58,0.8793103448275862,0.8823529411764706,(0.8808303292720552+0j),900,39860400.0,Okasan Securities Co. Ltd.
ANANDFI,89,0.9101123595505618,0.8518518518518519,(0.88050036847034+0j),244,32892380.0,Anand Rathi Shares and Stock Brokers Limited
NEEDHAM,124,0.8709677419354839,0.8888888888888888,(0.8798826901281198+0j),35,25217959.0,Needham & Company
BRADFORD,31,0.9354838709677419,0.8275862068965517,(0.8798826901281197+0j),1229,43604983.0,J.C. Bradford & Co.
GARTNER,84,0.8928571428571429,0.8666666666666667,(0.879664438186246+0j),1299,43608186.0,Schwab Soundview Capital Markets
BAKER,44,0.8636363636363636,0.8947368421052632,(0.8790490729915327+0j),174,25230772.0,"Ferris, Baker Watts"
HCBEGYPT,22,0.9545454545454546,0.8095238095238095,(0.8790490729915326+0j),208,32948579.0,HC Brokerage
BLAYLOCK,22,0.9545454545454546,0.8095238095238095,(0.8790490729915326+0j),1155,40177990.0,Blaylock & Company Inc.
RTXSECS,44,0.9545454545454546,0.8095238095238095,(0.8790490729915326+0j),103,25231739.0,"Merriman Capital, Inc"
EDELWEIS,79,0.9367088607594937,0.8243243243243243,(0.8787217413573976+0j),234,33422847.0,Nuvama Wealth Management Limited
MLGA,35,0.9428571428571428,0.8181818181818182,(0.8783100656536799+0j),33,10845811.0,Morgan Joseph TriArtisan LLC
GOEPEL,96,0.9375,0.8222222222222222,(0.8779711460710616+0j),308,38324280.0,Raymond James Ltd.
MIZUSEC,74,0.972972972972973,0.7916666666666666,(0.8776504260070009+0j),2557,108000140.0,Mizuho Securities USA LLC
SHOREUK,52,0.9423076923076923,0.8163265306122449,(0.8770580193070293+0j),2068,52846230.0,Shore Capital Group Ltd
REMIUM,13,0.9230769230769231,0.8333333333333334,(0.8770580193070293+0j),232,33444281.0,ABG Sundal Collier Sponsored
CATHAY,13,1.0,0.7692307692307693,(0.8770580193070292+0j),177,25219217.0,Cathay Financial
REDEYE,13,1.0,0.7692307692307693,(0.8770580193070292+0j),970,12056320.0,Redeye
INDSEC,26,0.9615384615384616,0.8,(0.8770580193070292+0j),1222,44233699.0,Indsec Securities & Finance Ltd.
TELSEY,13,1.0,0.7692307692307693,(0.8770580193070292+0j),2889,28388281.0,Telsey Advisory Group LLC
RBRTSON,143,0.8601398601398601,0.8943089430894309,(0.8770580193070292+0j),978,39950265.0,"Robertson Stephens, Inc."
LAZARD,73,0.8904109589041096,0.8615384615384616,(0.8758557459257963+0j),812,26254318.0,Lazard Capital Markets
